GammasND,alpha,inflow,Cl,chord, points, FazimND, FaxialND
5.930242582837974563e-01,5.726235858469014062e+00,1.476623585846901321e+01,8.556701489214961764e-01,3.365714285714285658e+00,2.114285714285714102e-01,6.563688572985250380e-02,2.596700645786247375e-01
7.318429297421699120e-01,6.794604832271117445e+00,1.551460483227111631e+01,9.709471161933383998e-01,3.297142857142856709e+00,2.342857142857143193e-01,9.489051700307098158e-02,3.544698039944260692e-01
7.776762333404846350e-01,6.717797198348149479e+00,1.511779719834814806e+01,9.625626571296225231e-01,3.228571428571428648e+00,2.571428571428571730e-01,1.074966346770113712e-01,4.130811591745994771e-01
7.878539947557532397e-01,6.309656480539754142e+00,1.438965648053975599e+01,9.180092844253923134e-01,3.160000000000000142e+00,2.800000000000000266e-01,1.122746388531943584e-01,4.556873923807520099e-01
7.831637835282668769e-01,5.813505810412478603e+00,1.357350581041247928e+01,8.649273280090382654e-01,3.091428571428571637e+00,3.028571428571428248e-01,1.131623870505229640e-01,4.902331696358047108e-01
7.729994695160699036e-01,5.330548743074194462e+00,1.277054874307419396e+01,8.136975523029521540e-01,3.022857142857142687e+00,3.257142857142857895e-01,1.122748920304810216e-01,5.208675424245882146e-01
7.618143344178888166e-01,4.903833091593351234e+00,1.202383309159335134e+01,7.680709555174657366e-01,2.954285714285714182e+00,3.485714285714285876e-01,1.107780129873438962e-01,5.499478910906282492e-01
7.518106574092613403e-01,4.542776623796215496e+00,1.134277662379621532e+01,7.291824624444540603e-01,2.885714285714285676e+00,3.714285714285714413e-01,1.092147750169487758e-01,5.789628358124303542e-01
7.439695499821230573e-01,4.243697967989288777e+00,1.072369796798928832e+01,6.969694451688068781e-01,2.817142857142857171e+00,3.942857142857142949e-01,1.077998736945197378e-01,6.088395768920890072e-01
7.384797291342464209e-01,4.002531651635443666e+00,1.016253165163544381e+01,6.707362917319938944e-01,2.748571428571428665e+00,4.171428571428571486e-01,1.066267606170416410e-01,6.400199062512889059e-01
