GammasND,alpha,inflow,Cl,chord, points, FazimND, FaxialND
2.777758011023375162e-01,1.805672006361121262e+01,2.709672006361121177e+01,1.045709189762263236e+00,3.365714285714285658e+00,2.114285714285714102e-01,4.602023310032149483e-02,1.264838265331311995e-01
2.674339975408187020e-01,2.469665602247411584e+01,3.341665602247411471e+01,8.686851997151958660e-01,3.297142857142856709e+00,2.342857142857143193e-01,1.728724248256987769e-02,1.708549355706928119e-01
2.809382885004669816e-01,2.417418373428836276e+01,3.257418373428836134e+01,8.565958006927890667e-01,3.228571428571428648e+00,2.571428571428571730e-01,1.848406794588759033e-02,1.945147021225676898e-01
3.457964558554885715e-01,1.923708221469887292e+01,2.731708221469887476e+01,1.042890438619335391e+00,3.160000000000000142e+00,2.800000000000000266e-01,7.275487703525103378e-02,2.112219567027573963e-01
3.642640881350963644e-01,1.856478635732275961e+01,2.632478635732276118e+01,1.045542312258450401e+00,3.091428571428571637e+00,3.028571428571428248e-01,8.101489279856997905e-02,2.389559032142579142e-01
3.782140282685238497e-01,1.760229940824081041e+01,2.504229940824080813e+01,1.041615309984151416e+00,3.022857142857142687e+00,3.257142857142857895e-01,8.742924981464467171e-02,2.646508781240637376e-01
3.973781459385601345e-01,1.629240110735238645e+01,2.341240110735238744e+01,1.058130086241941159e+00,2.954285714285714182e+00,3.485714285714285876e-01,9.417250661207415829e-02,2.945867871312661257e-01
4.179448689568033837e-01,1.505359083741647197e+01,2.185359083741647268e+01,1.079794105338707455e+00,2.885714285714285676e+00,3.714285714285714413e-01,1.017107026118002355e-01,3.271811475763195531e-01
4.358347918591743975e-01,1.407831718738086479e+01,2.055831718738086522e+01,1.094541413986328093e+00,2.817142857142857171e+00,3.942857142857142949e-01,1.077707677911376449e-01,3.604158286801659172e-01
4.504022541351828668e-01,1.339427729450617122e+01,1.955427729450617136e+01,1.101314086193008190e+00,2.748571428571428665e+00,4.171428571428571486e-01,1.128877644793206264e-01,3.931822931942745569e-01
4.676327699893211842e-01,1.257898409224620195e+01,1.841898409224620181e+01,1.118061285155672380e+00,2.680000000000000160e+00,4.400000000000000022e-01,1.186966541137670639e-01,4.291039388586863068e-01
4.792098154569789381e-01,1.255918753652706954e+01,1.807918753652706911e+01,1.118523539756220542e+00,2.611428571428571210e+00,4.628571428571429114e-01,1.252399987552799687e-01,4.629664783760263913e-01
5.267206278198010017e-01,1.007276738882513101e+01,1.527276738882513207e+01,1.220516579430618975e+00,2.542857142857143149e+00,4.857142857142857095e-01,1.362538815521574520e-01,5.273355447383444305e-01
5.118453700018759100e-01,1.161615269079202761e+01,1.649615269079202662e+01,1.155184886369442943e+00,2.474285714285714199e+00,5.085714285714285632e-01,1.391002167740103268e-01,5.411982494937124244e-01
