GammasND,alpha,inflow,Cl,chord, points, FazimND, FaxialND, Ct, Cp
4.148557723688108823e-01,3.570630955351930425e+00,1.272295563446685485e+01,6.232187298619019655e-01,3.389783859810340694e+00,2.034053800632197040e-01,3.707733888024506569e-02,1.748033962008127828e-01,7.605786854590925739e-01,4.435117001644675039e-01
6.390591093622252084e-01,6.168417274575308085e+00,1.513166419602242740e+01,9.025913594078308622e-01,3.349267197452954203e+00,2.169109341823485804e-01,7.457476477239759205e-02,2.867737509361175108e-01,7.605786854590925739e-01,4.435117001644675039e-01
7.594858903559520424e-01,6.868108288220700075e+00,1.545963851059581451e+01,9.789708852638581149e-01,3.269613619080381728e+00,2.434621269732061000e-01,1.018630135043093049e-01,3.819049449657150874e-01,7.605786854590925739e-01,4.435117001644675039e-01
7.869240184635656332e-01,6.258104652414038682e+00,1.430793760067480136e+01,9.123817944155675486e-01,3.153535631770163494e+00,2.821547894099454834e-01,1.122593354624849410e-01,4.585192125208004121e-01,7.605786854590925739e-01,4.435117001644675039e-01
7.678590711981043704e-01,5.192557334012533055e+00,1.254915928409229409e+01,7.990600836464596401e-01,3.004986132159948475e+00,3.316712892800170454e-01,1.113638785998837949e-01,5.269448014732081020e-01,7.605786854590925739e-01,4.435117001644675039e-01
7.434290987500457026e-01,4.276666385875206977e+00,1.081211076391142889e+01,7.005203913640292157e-01,2.829023795293476251e+00,3.903254015688412681e-01,1.076048691514451122e-01,6.021627626313027504e-01,7.605786854590925739e-01,4.435117001644675039e-01
7.331822908608633949e-01,3.693316431998403537e+00,9.307640200374541095e+00,6.367165426167202824e-01,2.631640807509172397e+00,4.561197308302759046e-01,1.048988469388474759e-01,6.958155344865780689e-01,7.605786854590925739e-01,4.435117001644675039e-01
7.407114355528136018e-01,3.418993834587672254e+00,8.043601613286748275e+00,6.065356674595474562e-01,2.419558809721230830e+00,5.268137300929232048e-01,1.039018812362876854e-01,8.134241901778527239e-01,7.605786854590925739e-01,4.435117001644675039e-01
7.631833357367667769e-01,3.396713674410863248e+00,6.996713674410862005e+00,6.040844121159298918e-01,2.199999999999999734e+00,6.000000000000000888e-01,1.043170719146900016e-01,9.556335241277682524e-01,7.605786854590925739e-01,4.435117001644675039e-01
7.948505510479384473e-01,3.572365918057654799e+00,6.147758139358574958e+00,6.234096098452429624e-01,1.980441190278768637e+00,6.731862699070770839e-01,1.056387314889091766e-01,1.117448908407272290e+00,7.605786854590925739e-01,4.435117001644675039e-01
8.283008062485205381e-01,3.894075710867045625e+00,5.479751942490906025e+00,6.588040074824255132e-01,1.768359192490827292e+00,7.438802691697241620e-01,1.073123550419789185e-01,1.287260837526110535e+00,7.605786854590925739e-01,4.435117001644675039e-01
8.556781752669722074e-01,4.310349212379593453e+00,4.974904834343366389e+00,7.041482847325847283e-01,1.570976204706522772e+00,8.096745984311590760e-01,1.087808881707590380e-01,1.447712254135802068e+00,7.605786854590925739e-01,4.435117001644675039e-01
8.703677466763066750e-01,4.757860008427287291e+00,4.601258058347522883e+00,7.523485582199350707e-01,1.395013867840050548e+00,8.683287107199830768e-01,1.092348470264506155e-01,1.579379374788745682e+00,7.605786854590925739e-01,4.435117001644675039e-01
8.653368054534796849e-01,5.127492418960193810e+00,4.277659470699425981e+00,7.921583086650156869e-01,1.246464368229835529e+00,9.178452105900548608e-01,1.060984276936232928e-01,1.659991893383468309e+00,7.605786854590925739e-01,4.435117001644675039e-01
8.268966805625879157e-01,5.210924065722711163e+00,3.819393843347593354e+00,8.010083386976839526e-01,1.130386380919617517e+00,9.565378730267941609e-01,9.259695684273577809e-02,1.653754637083731271e+00,7.605786854590925739e-01,4.435117001644675039e-01
7.280528784478946802e-01,4.624310617060094941e+00,2.861063695612971358e+00,7.379642858295952790e-01,1.050732802547044820e+00,9.830890658176517638e-01,5.773783429585811061e-02,1.498275014786167647e+00,7.605786854590925739e-01,4.435117001644675039e-01
5.148173667354092320e-01,2.792689788994329625e+00,8.403651098794042706e-01,5.347409045666845495e-01,1.010216140189658773e+00,9.965946199367803349e-01,-1.898926987293880330e-04,1.076177116144988899e+00,7.605786854590925739e-01,4.435117001644675039e-01
