AW, Ct, Cp
0.000000000000000000e+00,6.733509164425377502e-01,4.690298210739026197e-01
5.000000000000000278e-02,6.686708352562120705e-01,4.615780862709975563e-01
1.000000000000000056e-01,6.635540739371270647e-01,4.535084306861063563e-01
1.500000000000000222e-01,6.577970105740998941e-01,4.446415694887103642e-01
2.000000000000000111e-01,6.512207804471776829e-01,4.346677458797832960e-01
2.500000000000000000e-01,6.436169812290858383e-01,4.235581771238599025e-01
3.000000000000000444e-01,6.350949690524421154e-01,4.113142714055109117e-01
3.500000000000000333e-01,6.256575672115298747e-01,3.979115580087765336e-01
4.000000000000000222e-01,6.151486024165354616e-01,3.831852533824975926e-01
4.500000000000000111e-01,6.035239671924527149e-01,3.671397268153100413e-01
5.000000000000000000e-01,5.901168522559809837e-01,3.489520317860418386e-01
5.500000000000000444e-01,5.738771429672500091e-01,3.280383399409828593e-01
6.000000000000000888e-01,5.550603618776925874e-01,3.045536073299305313e-01
6.500000000000000222e-01,5.330966927216582718e-01,2.781718496690566145e-01
7.000000000000000666e-01,5.072298041328185958e-01,2.484847285837676056e-01
7.500000000000000000e-01,4.765867898674494008e-01,2.151479506494557714e-01
8.000000000000000444e-01,4.396400051173908752e-01,1.778118281488876573e-01
8.500000000000000888e-01,3.945086253644791707e-01,1.365074929339090692e-01
9.000000000000000222e-01,3.388971046429335443e-01,9.197671582225498688e-02
9.500000000000000666e-01,2.681900035992494380e-01,4.806161745373929706e-02
2.601324268617863922e-01,6.419666819728577778e-01,4.211731858747677637e-01
