NRotation, iter, err
1.000000000000000000e+00,1.130000000000000000e+02,9.766557576800067579e-07
2.000000000000000000e+00,1.530000000000000000e+02,9.968992218025622017e-07
3.000000000000000000e+00,3.490000000000000000e+02,9.828211391083213902e-07
4.000000000000000000e+00,4.190000000000000000e+02,9.855412071498003247e-07
5.000000000000000000e+00,1.820000000000000000e+02,9.454422422683147401e-07
6.000000000000000000e+00,1.760000000000000000e+02,9.774012956066349281e-07
7.000000000000000000e+00,1.120000000000000000e+02,9.863430001161899512e-07
8.000000000000000000e+00,1.050000000000000000e+02,9.295239632327353823e-07
9.000000000000000000e+00,1.020000000000000000e+02,9.293204403312623773e-07
1.000000000000000000e+01,1.010000000000000000e+02,8.249656491886976068e-07
1.100000000000000000e+01,1.000000000000000000e+02,8.614916786300404893e-07
1.200000000000000000e+01,9.900000000000000000e+01,9.737980823414537268e-07
1.300000000000000000e+01,9.900000000000000000e+01,9.202019108539827876e-07
1.400000000000000000e+01,9.900000000000000000e+01,8.895093737106425682e-07
1.500000000000000000e+01,9.900000000000000000e+01,8.746510576230952069e-07
1.600000000000000000e+01,9.900000000000000000e+01,8.648110829721734165e-07
1.700000000000000000e+01,9.900000000000000000e+01,8.597900634217210435e-07
1.800000000000000000e+01,9.900000000000000000e+01,8.570085761435415833e-07
1.900000000000000000e+01,9.900000000000000000e+01,8.552114367575207958e-07
2.000000000000000000e+01,9.900000000000000000e+01,8.540868719510539122e-07
2.100000000000000000e+01,9.900000000000000000e+01,8.535672136948340847e-07
2.200000000000000000e+01,9.900000000000000000e+01,8.538213847587783043e-07
2.300000000000000000e+01,9.900000000000000000e+01,8.541716434522700220e-07
2.400000000000000000e+01,9.900000000000000000e+01,8.545732686013832857e-07
2.500000000000000000e+01,9.900000000000000000e+01,8.549996941874055314e-07
2.600000000000000000e+01,9.900000000000000000e+01,8.554344534758215366e-07
2.700000000000000000e+01,9.900000000000000000e+01,8.558664456021425620e-07
2.800000000000000000e+01,9.900000000000000000e+01,8.562890247739576744e-07
2.900000000000000000e+01,9.900000000000000000e+01,8.566977402925074189e-07
3.000000000000000000e+01,9.900000000000000000e+01,8.570899444172281697e-07
