N_new, Ct, Cp
1.000000000000000000e+00,6.523494210679569028e-01,1.580974445580572707e-01
3.000000000000000000e+00,6.562588504483611862e-01,3.522197381911369440e-01
5.000000000000000000e+00,6.494550205628945028e-01,3.835358597464473274e-01
7.000000000000000000e+00,6.474469155624681393e-01,4.004809000233672256e-01
9.000000000000000000e+00,6.440830076314297825e-01,4.078163496372128050e-01
1.100000000000000000e+01,6.437207402611077045e-01,4.145068273110099066e-01
1.300000000000000000e+01,6.418389420781003274e-01,4.176564320192744373e-01
1.500000000000000000e+01,6.419666819728577778e-01,4.211731858747677637e-01
1.700000000000000000e+01,6.411990439561396915e-01,4.233461313430003092e-01
1.900000000000000000e+01,6.399430152580841691e-01,4.244523953121522308e-01
2.100000000000000000e+01,6.405734447765909501e-01,4.266017842735602139e-01
2.300000000000000000e+01,6.401128783239036224e-01,4.275475889594548273e-01
2.500000000000000000e+01,6.401298073643990616e-01,4.286926650555242801e-01
2.700000000000000000e+01,6.392515967023285617e-01,4.294748565704370469e-01
2.900000000000000000e+01,6.394748970055313952e-01,4.300864009813663014e-01
3.100000000000000000e+01,6.396326224360144863e-01,4.308674247359426390e-01
3.300000000000000000e+01,6.387387559233002055e-01,4.311843728896879169e-01
3.500000000000000000e+01,6.373438288782454775e-01,4.332347355048965509e-01
3.700000000000000000e+01,6.383798517614515111e-01,4.334120636342628230e-01
3.900000000000000000e+01,6.370544002262171768e-01,4.351121967397588164e-01
4.100000000000000000e+01,6.372889233604293047e-01,4.356476913667592932e-01
