dt, Ct, Cp
1.000000000000000000e+00,7.536543316179619145e-01,6.132785215388011357e-01
2.000000000000000000e+00,6.416205533707529662e-01,4.882718253035174816e-01
3.000000000000000000e+00,6.393008265807421653e-01,4.130581578712792523e-01
4.000000000000000000e+00,6.595565879239241314e-01,4.507087687394460973e-01
5.000000000000000000e+00,6.511714136140053233e-01,4.357880558701437979e-01
6.000000000000000000e+00,6.402621767550086274e-01,4.177181499850646240e-01
7.000000000000000000e+00,6.438883013572886949e-01,4.247786680702007045e-01
8.000000000000000000e+00,6.432872279663922610e-01,4.229836155243417162e-01
9.000000000000000000e+00,6.409409577937211777e-01,4.191285492284504421e-01
1.000000000000000000e+01,6.419666819728577778e-01,4.211731858747677637e-01
1.100000000000000000e+01,6.420489434809745211e-01,4.209816387741222021e-01
1.200000000000000000e+01,6.413368827608039169e-01,4.198258861634040495e-01
1.300000000000000000e+01,6.417131517275471708e-01,4.205844616618537590e-01
1.400000000000000000e+01,6.418271100603368806e-01,4.206323363863646025e-01
1.500000000000000000e+01,6.415793110003982225e-01,4.202331468552650273e-01
1.600000000000000000e+01,6.417453901581515741e-01,4.205657785876206756e-01
1.700000000000000000e+01,6.418278684525000610e-01,4.206394320231949258e-01
1.800000000000000000e+01,6.417411714784407861e-01,4.205003899404345935e-01
1.900000000000000000e+01,6.418263429974850887e-01,4.206671236245682066e-01
2.000000000000000000e+01,6.418820652311773012e-01,4.207303897974609130e-01
