GammasND,alpha,inflow,Cl,chord, points, FazimND, FaxialND
6.068580832514272050e-01,6.205823343261199554e+00,1.524582334326119870e+01,9.066746729485909428e-01,3.365714285714285658e+00,2.114285714285714102e-01,6.713667035306099262e-02,2.560438672426781914e-01
7.485125835510623160e-01,7.289520197260820566e+00,1.600952019726081943e+01,1.024358951626115122e+00,3.297142857142856709e+00,2.342857142857143193e-01,9.722430231463043138e-02,3.506114689829977760e-01
7.948006488928163193e-01,7.170407178167529594e+00,1.557040717816752817e+01,1.011970374224915536e+00,3.228571428571428648e+00,2.571428571428571730e-01,1.101639033984183336e-01,4.095164512663896916e-01
8.044009049375452358e-01,6.712650907686034785e+00,1.479265090768603663e+01,9.620008788117309084e-01,3.160000000000000142e+00,2.800000000000000266e-01,1.150086226843393261e-01,4.524743921405158242e-01
7.985966008971450147e-01,6.176230119556282538e+00,1.393623011955628321e+01,9.034442235772940366e-01,3.091428571428571637e+00,3.028571428571428248e-01,1.159136537266392541e-01,4.872454227518822067e-01
7.875182541992830076e-01,5.651240779224565358e+00,1.309124077922456486e+01,8.477150296188064038e-01,3.022857142857142687e+00,3.257142857142857895e-01,1.149479429833296651e-01,5.182451993697260173e-01
7.756484621460143503e-01,5.187048766157835722e+00,1.230704876615783583e+01,7.984757611160674395e-01,2.954285714285714182e+00,3.485714285714285876e-01,1.133519956065597301e-01,5.478025758611071439e-01
7.650334357562513787e-01,4.797117231187701059e+00,1.159711723118770088e+01,7.565768559283195804e-01,2.885714285714285676e+00,3.714285714285714413e-01,1.117402493999813118e-01,5.772735824775813152e-01
7.566665714590146141e-01,4.474983916798422889e+00,1.095498391679842243e+01,7.218806787856009155e-01,2.817142857142857171e+00,3.942857142857142949e-01,1.103063384669141916e-01,6.075886304903088675e-01
7.507963856490598165e-01,4.213017489569827134e+00,1.037301748956982728e+01,6.936649272362759300e-01,2.748571428571428665e+00,4.171428571428571486e-01,1.091243654730230939e-01,6.392466076244658346e-01
7.472692049449943807e-01,4.005035070529697094e+00,9.845035070529696952e+00,6.710117169934440851e-01,2.680000000000000160e+00,4.400000000000000022e-01,1.082057424460903389e-01,6.724472272700316999e-01
7.459180503752860236e-01,3.842874809505471667e+00,9.362874809505470353e+00,6.531709024210342607e-01,2.611428571428571210e+00,4.628571428571429114e-01,1.075274967237807439e-01,7.073558694130289703e-01
