GammasND,alpha,inflow,Cl,chord, points, FazimND, FaxialND, Ct, Cp
4.492703973889620728e-01,4.006655146002190193e+00,1.314546842805684435e+01,6.711899571240130813e-01,3.386888560440282969e+00,2.043704798532389455e-01,4.195986052060733662e-02,1.901814580244046426e-01,7.578395070683172641e-01,4.367590789807434537e-01
6.755059013504984833e-01,6.482092855996878455e+00,1.537883341945081561e+01,9.368327484129146399e-01,3.335015835025843423e+00,2.216613883247187666e-01,8.203290725806353101e-02,3.096536195653454282e-01,7.578395070683172641e-01,4.367590789807434537e-01
7.740892729223782798e-01,6.722620731837849917e+00,1.514579559748698401e+01,9.630892026957497132e-01,3.233537471210528480e+00,2.554875095964904697e-01,1.064865306111339588e-01,4.083749981870355983e-01,7.578395070683172641e-01,4.367590789807434537e-01
7.758125345878578161e-01,5.713488766291532350e+00,1.345230204834618704e+01,8.543179983530072574e-01,3.086888560440283147e+00,3.043704798532389511e-01,1.115083443963071907e-01,4.880131349858015111e-01,7.578395070683172641e-01,4.367590789807434537e-01
7.467665055141224917e-01,4.556401135687324633e+00,1.142996683349212717e+01,7.306499246935952430e-01,2.901478363815314765e+00,3.661738787282283747e-01,1.078260207600481163e-01,5.668100454176754344e-01,7.578395070683172641e-01,4.367590789807434537e-01
7.292303874899109806e-01,3.775554738840027902e+00,9.640802323089880943e+00,6.457643720531268672e-01,2.685410196624968382e+00,4.381966011250105208e-01,1.042316852728608217e-01,6.644903562201454061e-01,7.578395070683172641e-01,4.367590789807434537e-01
7.341711168527208509e-01,3.405393038431236974e+00,8.163320319830518201e+00,6.050393126761282048e-01,2.448127274585560453e+00,5.172909084714798489e-01,1.027660514737274433e-01,7.915408503173778643e-01,7.578395070683172641e-01,4.367590789807434537e-01
7.589303150312707302e-01,3.366333744411408091e+00,6.966333744411406848e+00,6.007420229607836060e-01,2.199999999999999734e+00,6.000000000000000888e-01,1.031693055090420752e-01,9.503320451391324974e-01,7.578395070683172641e-01,4.367590789807434537e-01
7.954301397009114760e-01,3.579915100694326391e+00,6.021987819295042677e+00,6.242401682492775272e-01,1.951872725414439236e+00,6.827090915285203288e-01,1.047252252259215782e-01,1.134178615376556065e+00,7.578395070683172641e-01,4.367590789807434537e-01
8.329094601928996866e-01,3.970995510468019685e+00,5.305747926218167265e+00,6.672666966330238481e-01,1.714589803375031529e+00,7.618033988749894903e-01,1.066380397844226419e-01,1.325732075734058713e+00,7.578395070683172641e-01,4.367590789807434537e-01
8.601974110517176531e-01,4.464008647301904276e+00,4.790442949497101033e+00,7.206985598378533586e-01,1.498521636184684924e+00,8.338261212717716919e-01,1.080855797412582781e-01,1.498890695603853684e+00,7.578395070683172641e-01,4.367590789807434537e-01
8.683318600814866617e-01,4.951236403478938897e+00,4.412423121424282613e+00,7.731766482007947916e-01,1.313111439559716542e+00,8.956295201467611156e-01,1.074058072809148529e-01,1.625394211626222774e+00,7.578395070683172641e-01,4.367590789807434537e-01
8.436647833368462468e-01,5.220390454636230082e+00,3.997215588987093504e+00,8.020124879556270736e-01,1.166462528789470765e+00,9.445124904035097080e-01,9.848233049989413290e-02,1.665875487380912734e+00,7.578395070683172641e-01,4.367590789807434537e-01
7.581342395848386095e-01,4.846879908506117829e+00,3.150139345052178186e+00,7.619366699873190152e-01,1.064984164974155822e+00,9.783386116752814665e-01,6.807672565574054979e-02,1.552126481422630766e+00,7.578395070683172641e-01,4.367590789807434537e-01
5.523116502971960884e-01,3.111444058974888627e+00,1.172630776920232876e+00,5.726991499068638802e-01,1.013111439559716498e+00,9.956295201467610934e-01,7.465809025989073207e-03,1.153201807809859591e+00,7.578395070683172641e-01,4.367590789807434537e-01
