GammasND,alpha,inflow,Cl,chord, points, FazimND, FaxialND, Ct, Cp
2.313490629429004464e-01,6.662406529057710358e+00,1.580121981111236451e+01,9.565161123337851956e-01,3.386888560440282969e+00,2.043704798532389455e-01,2.650620123384866966e-02,9.710478823740940901e-02,4.711768696489246899e-01,3.332708163573325222e-01
2.575849854542899831e-01,2.449982675638995033e+01,3.339656731984388927e+01,8.641308001981578002e-01,3.335015835025843423e+00,2.216613883247187666e-01,1.636114320717543813e-02,1.572188908150372044e-01,4.711768696489246899e-01,3.332708163573325222e-01
3.286601149563260771e-01,2.139540654033406852e+01,2.981858140598320261e+01,1.027679105552385952e+00,3.233537471210528480e+00,2.554875095964904697e-01,6.431073138661147492e-02,1.913969045712259065e-01,4.711768696489246899e-01,3.332708163573325222e-01
3.685843053493753629e-01,1.854471077666538648e+01,2.628352405872004027e+01,1.045622534358979339e+00,3.086888560440283147e+00,3.043704798532389511e-01,8.297390089022467496e-02,2.450155474241610953e-01,4.711768696489246899e-01,3.332708163573325222e-01
4.168494936409763985e-01,1.519575175526986399e+01,2.206931745307466741e+01,1.077503496390415094e+00,2.901478363815314765e+00,3.661738787282283747e-01,1.014934565558457819e-01,3.242372087441644513e-01,4.711768696489246899e-01,3.332708163573325222e-01
4.697400508684796971e-01,1.254119572574650832e+01,1.840644330999636225e+01,1.118943653104396141e+00,2.685410196624968382e+00,4.381966011250105208e-01,1.195470038188682083e-01,4.317237347369622391e-01,4.711768696489246899e-01,3.332708163573325222e-01
5.396198741562227008e-01,1.032058408377245939e+01,1.507851136517174062e+01,1.212568782936953804e+00,2.448127274585560453e+00,5.172909084714798489e-01,1.460257322017796400e-01,5.795806687596289919e-01,4.711768696489246899e-01,3.332708163573325222e-01
5.604783987511844368e-01,9.391212246632754557e+00,1.299121224663275420e+01,1.216134348314837466e+00,2.199999999999999734e+00,6.000000000000000888e-01,1.545030672912175163e-01,6.984614244554060436e-01,4.711768696489246899e-01,3.332708163573325222e-01
5.534718602861322667e-01,9.073212126553739765e+00,1.151528484515445605e+01,1.193588535658792749e+00,1.951872725414439236e+00,6.827090915285203288e-01,1.531555384181608470e-01,7.863217135634903432e-01,4.711768696489246899e-01,3.332708163573325222e-01
5.396375515302170855e-01,9.025501144219697736e+00,1.036025355996984487e+01,1.189989448016572915e+00,1.714589803375031529e+00,7.618033988749894903e-01,1.490183514445514723e-01,8.567005511870159351e-01,4.711768696489246899e-01,3.332708163573325222e-01
5.191737014727750843e-01,9.141593383479394319e+00,9.468027685674590188e+00,1.198746889662855697e+00,1.498521636184684924e+00,8.338261212717716919e-01,1.425905882053076223e-01,9.029997943350484002e-01,4.711768696489246899e-01,3.332708163573325222e-01
4.913212757722699719e-01,9.250852815601964707e+00,8.712039533547308423e+00,1.206988897115041981e+00,1.313111439559716542e+00,8.956295201467611156e-01,1.326021831430623243e-01,9.184327656263318040e-01,4.711768696489246899e-01,3.332708163573325222e-01
4.546672328450577227e-01,9.081815262912673603e+00,7.858640397263537025e+00,1.194237514997281036e+00,1.166462528789470765e+00,9.445124904035097080e-01,1.158987789519866501e-01,8.966619502067673109e-01,4.711768696489246899e-01,3.332708163573325222e-01
3.986611349557717676e-01,8.108282839537196196e+00,6.411542276083255665e+00,1.108864229932274847e+00,1.064984164974155822e+00,9.783386116752814665e-01,8.451448449174371602e-02,8.155825498875162172e-01,4.711768696489246899e-01,3.332708163573325222e-01
2.873986743365980479e-01,5.444780449761681851e+00,3.505967167707026100e+00,8.258147053749131938e-01,1.013111439559716498e+00,9.956295201467610934e-01,3.050824340780323995e-02,6.007292721674195590e-01,4.711768696489246899e-01,3.332708163573325222e-01
