AW, Ct, Cp
0.000000000000000000e+00,6.769452917860880881e-01,4.805216554415416286e-01
5.000000000000000278e-02,6.719183015816304616e-01,4.726744057172092561e-01
1.000000000000000056e-01,6.664008083337567001e-01,4.641460168548039444e-01
1.500000000000000222e-01,6.605226694196075776e-01,4.550570696336811438e-01
2.000000000000000111e-01,6.541194414290155690e-01,4.452078285245276157e-01
2.500000000000000000e-01,6.469228386553566024e-01,4.343788333505723687e-01
3.000000000000000444e-01,6.390078713918458941e-01,4.224003798506418272e-01
3.500000000000000333e-01,6.299732782974653000e-01,4.090269182605437148e-01
4.000000000000000222e-01,6.193868895381033912e-01,3.939038220939711787e-01
4.500000000000000111e-01,6.073297273355752202e-01,3.770897258112635431e-01
5.000000000000000000e-01,5.937984723454956537e-01,3.585513876142595313e-01
5.500000000000000444e-01,5.781715106708009699e-01,3.376600138735906809e-01
6.000000000000000888e-01,5.595632823444265380e-01,3.138613780095316219e-01
6.500000000000000222e-01,5.375926976299463256e-01,2.869861254633218617e-01
7.000000000000000666e-01,5.117178918563651813e-01,2.567559118829162990e-01
7.500000000000000000e-01,4.810296736869253409e-01,2.228115302062091130e-01
8.000000000000000444e-01,4.440765177520140661e-01,1.848826483765526885e-01
8.500000000000000888e-01,3.990528440725354398e-01,1.430442822644858447e-01
9.000000000000000222e-01,3.438528303812313780e-01,9.816506680089229220e-02
9.500000000000000666e-01,2.743987162995523699e-01,6.293652206606853428e-02
2.601324268617863922e-01,6.453634353261040735e-01,4.320548580875707700e-01
