NRotation, Ct, Cp
1.000000000000000000e+00,6.911956357455124600e-01,5.008992649777489481e-01
2.000000000000000000e+00,6.665906146701908730e-01,4.642600140274122378e-01
3.000000000000000000e+00,6.568119883113501256e-01,4.494978528692267217e-01
4.000000000000000000e+00,6.521420664212970175e-01,4.423385470854658275e-01
5.000000000000000000e+00,6.495264406688459058e-01,4.383517175708814273e-01
6.000000000000000000e+00,6.479253232995269007e-01,4.359369316445010356e-01
7.000000000000000000e+00,6.469001608514602930e-01,4.343852753022076074e-01
8.000000000000000000e+00,6.462073942010284622e-01,4.333354790714883387e-01
9.000000000000000000e+00,6.457192911989281248e-01,4.325950988913299100e-01
1.000000000000000000e+01,6.453634353261040735e-01,4.320548580875707700e-01
1.100000000000000000e+01,6.450965309598848396e-01,4.316493465724694500e-01
1.200000000000000000e+01,6.448915094403333548e-01,4.313376318142327359e-01
1.300000000000000000e+01,6.447307918787897885e-01,4.310931113481145660e-01
1.400000000000000000e+01,6.446025839617222086e-01,4.308979251527887411e-01
1.500000000000000000e+01,6.444987460282824987e-01,4.307397404999922519e-01
1.600000000000000000e+01,6.444135206112606706e-01,4.306098296420744487e-01
1.700000000000000000e+01,6.443427461435663472e-01,4.305018811700790371e-01
1.800000000000000000e+01,6.442833563958058063e-01,4.304112428854487415e-01
1.900000000000000000e+01,6.442338286513356049e-01,4.303340216967129761e-01
2.000000000000000000e+01,6.441919945066583164e-01,4.302677806794885651e-01
