NRotation, iter, err
1.000000000000000000e+00,1.230000000000000000e+02,9.262962761673880771e-07
2.000000000000000000e+00,1.120000000000000000e+02,8.958907949723917378e-07
3.000000000000000000e+00,1.480000000000000000e+02,9.344105068417589991e-07
4.000000000000000000e+00,1.590000000000000000e+02,9.386484120900174348e-07
5.000000000000000000e+00,1.400000000000000000e+02,9.279735273040295062e-07
6.000000000000000000e+00,1.390000000000000000e+02,9.314390627668882979e-07
7.000000000000000000e+00,1.390000000000000000e+02,9.133379367945180445e-07
8.000000000000000000e+00,1.390000000000000000e+02,9.083879637791198763e-07
9.000000000000000000e+00,1.390000000000000000e+02,9.071391358876152959e-07
1.000000000000000000e+01,1.390000000000000000e+02,9.071623930503463977e-07
1.100000000000000000e+01,1.390000000000000000e+02,9.076267670873666908e-07
1.200000000000000000e+01,1.390000000000000000e+02,9.079764249023407641e-07
1.300000000000000000e+01,1.390000000000000000e+02,9.087210501081627168e-07
1.400000000000000000e+01,1.390000000000000000e+02,9.093242764534141879e-07
1.500000000000000000e+01,1.390000000000000000e+02,9.098126295496745399e-07
1.600000000000000000e+01,1.390000000000000000e+02,9.102134383891490910e-07
1.700000000000000000e+01,1.390000000000000000e+02,9.105463549955696176e-07
1.800000000000000000e+01,1.390000000000000000e+02,9.107964079817322749e-07
1.900000000000000000e+01,1.490000000000000000e+02,9.641264488275954709e-07
2.000000000000000000e+01,1.500000000000000000e+02,9.913175930576214436e-07
2.100000000000000000e+01,1.510000000000000000e+02,9.532996107167933809e-07
2.200000000000000000e+01,1.510000000000000000e+02,9.879468934647930852e-07
2.300000000000000000e+01,1.520000000000000000e+02,9.201342504412842928e-07
2.400000000000000000e+01,1.520000000000000000e+02,9.376323638842845113e-07
2.500000000000000000e+01,1.520000000000000000e+02,9.516365591388970733e-07
2.600000000000000000e+01,1.520000000000000000e+02,9.631776103295866992e-07
2.700000000000000000e+01,1.520000000000000000e+02,9.726774493001497870e-07
2.800000000000000000e+01,1.520000000000000000e+02,9.807693439575964351e-07
2.900000000000000000e+01,1.520000000000000000e+02,9.877236625551209908e-07
3.000000000000000000e+01,1.520000000000000000e+02,9.938224394559022436e-07
