N_new, Ct, Cp
1.000000000000000000e+00,6.523494210679569028e-01,1.580974445580572152e-01
3.000000000000000000e+00,6.654432842406087234e-01,3.711663776256779457e-01
5.000000000000000000e+00,6.526120154049561695e-01,4.028275614756719469e-01
7.000000000000000000e+00,6.485783339093108557e-01,4.153041902775980732e-01
9.000000000000000000e+00,6.478015388979407874e-01,4.229439648631813098e-01
1.100000000000000000e+01,6.472875210680885116e-01,4.276928173129467825e-01
1.300000000000000000e+01,6.466730740560356905e-01,4.306365973656565149e-01
1.500000000000000000e+01,6.453634353261040735e-01,4.320548580875707700e-01
1.700000000000000000e+01,6.444641985093041425e-01,4.329592621729616009e-01
1.900000000000000000e+01,6.440806424978847700e-01,4.340341485086015028e-01
2.100000000000000000e+01,6.441564603951578372e-01,4.352432036722940767e-01
2.300000000000000000e+01,6.442125910812523948e-01,4.362173186172948469e-01
2.500000000000000000e+01,6.436365963550103597e-01,4.365342794960773154e-01
2.700000000000000000e+01,6.429694886339923920e-01,4.365494657277752544e-01
2.900000000000000000e+01,6.424826848984963590e-01,4.366491590282335356e-01
3.100000000000000000e+01,6.422749239597728144e-01,4.369771142912777795e-01
3.300000000000000000e+01,6.421507816484347542e-01,4.373308971882073903e-01
3.500000000000000000e+01,6.420272895912120248e-01,4.376460821782111044e-01
3.700000000000000000e+01,6.416906905979232745e-01,4.377454700029110302e-01
3.900000000000000000e+01,6.410993133750050310e-01,4.374343162190930112e-01
4.100000000000000000e+01,6.410309847096277158e-01,4.376605795030460433e-01
