dt, Ct, Cp
1.000000000000000000e+00,7.575785963166551396e-01,6.285686252299175214e-01
2.000000000000000000e+00,6.446493940840671844e-01,5.001494558979353577e-01
3.000000000000000000e+00,6.423433937925783210e-01,4.231499151288599658e-01
4.000000000000000000e+00,6.628394037695456431e-01,4.617281191060732537e-01
5.000000000000000000e+00,6.546175811542676026e-01,4.468060738424048939e-01
6.000000000000000000e+00,6.435955550025806993e-01,4.284106013164027393e-01
7.000000000000000000e+00,6.472883886664686504e-01,4.356991809202732657e-01
8.000000000000000000e+00,6.466981485303483490e-01,4.339025619955416690e-01
9.000000000000000000e+00,6.443119067277852663e-01,4.299255112448569505e-01
1.000000000000000000e+01,6.453634353261040735e-01,4.320548580875707700e-01
1.100000000000000000e+01,6.454525847879269973e-01,4.318722482679236974e-01
1.200000000000000000e+01,6.447244662012889815e-01,4.306712366013050186e-01
1.300000000000000000e+01,6.451130053694443811e-01,4.314673150757273312e-01
1.400000000000000000e+01,6.452317125662204722e-01,4.315243555509712947e-01
1.500000000000000000e+01,6.449773199827331105e-01,4.311074930129926153e-01
1.600000000000000000e+01,6.451497747527306093e-01,4.314588380208260188e-01
1.700000000000000000e+01,6.452355111923335773e-01,4.315396137582049874e-01
1.800000000000000000e+01,6.451461997313739927e-01,4.313939085277305185e-01
1.900000000000000000e+01,6.452349569947897212e-01,4.315709350511599540e-01
2.000000000000000000e+01,6.452929105720850433e-01,4.316394256394271989e-01
